회사,제목,마감일,인원,성별,연령,학력,우대사항,급여,근무기간,근무요일,근무시간,업직종,고용형태,복리후생,모집분야,인원_추가사항,연령_추가사항,급여_추가사항,급여형태,급여금액,근무기간_추가사항,근무요일_추가사항,근무시간_추가사항
에드유,[재택알바] 블로그 포스팅 원고 작성 작가님 모집합니다.,상시모집,0명,무관,무관,무관,없음,"['건별', '4,000원']",3개월~6개월,요일협의,시간협의,바이럴·SNS마케팅 초보가능,"알바, 계약직",없음,없음,"인원미정,친구",없음,없음,건별,"4,000원",협의가능,(재택근무),(재택근무)
㈜금솔커뮤니케이션,웹디자이너 카드뉴스(포스팅)이미지 제작 (재택아르바이트 모집),2022.12.06,0명,무관,무관,무관,없음,"['건별', '3,500원', '이미지 개당 3,500원']",6개월~1년,요일협의,시간협의,웹·모바일디자인,알바,없음,없음,인원미정,없음,"이미지 개당 3,500원",건별,"3,500원",협의가능,없음,(재택)
큐픽스,[야간/재택근무] 3D 투어 검수/편집,상시모집,00명,무관,무관,무관,"엑셀가능, 포토샵가능","['월급', '3,000,000원']",1개월~3개월,월~금,20:00~06:00,"그래픽·영상·편집디자인,CAD·CAM·인테리어디자인",알바,"국민연금, 고용보험, 건강보험, 산재보험, 연차",없음,인원미정,없음,없음,월급,"3,000,000원",없음,없음,(익일)(휴게시간 120분)
㈜)교원구몬,(주2-5일가능/초보/주부가능) 구몬선생님을 모집합니다.,상시모집,1명,무관,무관,"대학(2,3년제) 졸업 이상","유사업무 경험, 인근거주","['월급', '2,000,000원', '1~5일까지 근무시간 선택가능하며 그에 따라 급여가 변동됩니다. (주5일 근무시 2,000,000원)']",6개월~1년,요일협의,시간협의,"보조교사,방문·학습지,유아·유치원,구몬학습 브랜드 초보가능",위촉직(프리랜서),"산재보험, 정기휴가, 인센티브제, 장기근속자 포상, 각종 경조금, 경조휴가제",없음,없음,없음,"1~5일까지 근무시간 선택가능하며 그에 따라 급여가 변동됩니다. (주5일 근무시 2,000,000원)",월급,"2,000,000원",없음,(주2-3일 또는 3-4일 가능 협의 및 조절가능),없음
댓츠잇 주식회사,서비스 안내 아웃바운드 TM,상시모집,1명,무관,무관,무관,없음,"['시급', '10,000원', '협의가능']",1개월~3개월,월~금,10:00~05:00,텔레마케팅·아웃바운드,알바,없음,없음,없음,없음,협의가능,시급,"10,000원",없음,없음,(익일)
호원앤컴퍼니㈜,[재택] 구글 엑셀 시트 관리,2022.12.19,00명,무관,무관,무관,"컴퓨터활용가능, 엑셀가능","['시급', '9,160원', '협의가능']",1년이상,월~금,시간협의,문서작성·자료조사,알바,없음,없음,인원미정,없음,협의가능,시급,"9,160원",협의가능,없음,(평일 오전 )
호원앤컴퍼니㈜,[재택]포스팅 원고 작성 및 포스팅 업로드 아르바이트 모집,2022.12.19,00명,무관,무관,무관,없음,"['건별', '10,000원', '글자 수 등에 따라 다릅니다. 상세 내역 확인 바랍니다.']",1년이상,요일협의,시간협의,바이럴·SNS마케팅,알바,없음,"바이럴 원고 작성, 블로그 업로드","인원미정,친구",장년가능,글자 수 등에 따라 다릅니다. 상세 내역 확인 바랍니다.,건별,"10,000원",협의가능,없음,(재택 자율 )
익스온플러스,한국사 강사 모집,2022.12.19,1명,무관,무관,"대학(2,3년제) 졸업 이상","업무 관련 자격증 소지, 유사업무 경험","['건별', '30,000원', '* 급여는 최저 타임당 14,000원이며, 경력에 따라 차등 지급합니다.']",6개월~1년,요일협의,시간협의,"교육·강사 기타,입시·보습학원,외국어·어학원","계약직, 위촉직(프리랜서)",없음,없음,없음,없음,"* 급여는 최저 타임당 14,000원이며, 경력에 따라 차등 지급합니다.",건별,"30,000원",없음,없음,없음
주식회사 디엔와이 (D&Y),[편집디자이너 구인] 기존내용에 내용수정만 해주실 편집디자이너 구인,상시모집,1명,무관,무관,무관,없음,"['건별', '300,000원', '협의가능', '1월 5일(3.3% 원청징수)']",1주일~1개월,요일협의,시간협의,"편집·교정·교열,디자인 기타,제품·산업디자인","알바, 위촉직(프리랜서)",없음,없음,없음,없음,"협의가능,1월 5일(3.3% 원청징수)",건별,"300,000원","11.29(화) ~ 12.23(금),협의가능",없음,없음
JobWanted,[재택근무] 호텔 +항공 예약 고객 상담 업무,상시모집,5명,무관,무관,무관,영어가능,"['월급', '2,400,000원', '협의가능']",6개월~1년,주5일,시간협의,고객상담·인바운드,"계약직, 파견직",없음,없음,없음,없음,협의가능,월급,"2,400,000원",없음,없음,(스케줄 업무 )
부킹컴퍼니,재택근무 / 광고영업 / 아웃바운드 TM / DB제공 / 초보가능,상시모집,00명,무관,무관,무관,유사업무 경험,"['건별', '500,000원', '협의가능']",3개월~6개월,요일협의,시간협의,"마케팅·광고·홍보,텔레마케팅·아웃바운드",위촉직(프리랜서),없음,없음,"인원미정,친구",없음,협의가능,건별,"500,000원",없음,없음,없음
클립소프트,주5일/자택근무/당일지급/월400이상,상시모집,00명,무관,무관,고등학교 졸업 이상,"컴퓨터활용가능, 유사업무 경험","['월급', '4,000,000원', '당일지급']",3개월~6개월,월~금,10:00~17:00,텔레마케팅·아웃바운드 초보가능,"알바, 정규직",없음,없음,"인원미정,친구",없음,당일지급,월급,"4,000,000원",협의가능,없음,없음
헤시마켓,[재택근무] 쇼핑몰 상품 단순 업로드직 알바 구함 (부업가능),상시모집,00명,무관,무관,무관,없음,"['건별', '250원']",3개월~6개월,요일협의,시간협의,사무보조,알바,없음,없음,인원미정,없음,없음,건별,250원,협의가능,(편한시간대 가능),(업무시간 자유로움. 미리 협의.)
익스페셜컴퍼니,"(재택알바) 초보가능 원고작성, 글쓰기 알바 혹은 프리랜서를 모집합니다.",상시모집,20명,무관,무관,무관,없음,"['월급', '520,000원']",6개월~1년,월~금,시간협의,문서작성·자료조사 초보가능,알바,없음,없음,친구,없음,없음,월급,"520,000원",없음,없음,없음
㈜하나에치디,플레이도우(폼클레이)를 잘 만지는 분을 찾습니다,2022.12.05,1명,무관,무관,무관,없음,"['건별', '200,000원', '협의가능 당일지급']",3개월~6개월,요일협의,시간협의,유아·유치원,알바,없음,없음,없음,없음,협의가능 당일지급,건별,"200,000원",없음,없음,(스튜디오 2~3시간 촬영)
㈜닐리리아,[프리랜서/재택] 웹툰 [중국어] 식자 디자이너 모집,상시모집,00명,무관,무관,무관,컴퓨터활용가능,"['건별', '34,400원']",6개월~1년,요일협의,시간협의,"캐릭터·애니메이션디자인,그래픽·영상·편집디자인,디자인 기타",위촉직(프리랜서),없음,없음,인원미정,없음,없음,건별,"34,400원",없음,없음,없음
백파식당,"홀 직원 및 아르바이트 남,여 구함",상시모집,00명,무관,무관,무관,없음,"['시급', '10,000원', '홀 직원 7~8시간 근무 급여 250만원']",6개월~1년,요일협의,시간협의,"서빙,주방장·조리사,일반음식점 초보가능","알바, 정규직","국민연금, 산재보험, 건강보험, 고용보험, 퇴직금",없음,인원미정,없음,홀 직원 7~8시간 근무 급여 250만원,시급,"10,000원",협의가능,(월 화 수 목 금 토 ),(오픈조 5시-10시 마감조 8시-12시에서 1시 사이)
블랙벨,[재택근무]온라인쇼핑몰 상품등록알바,상시모집,1명,무관,20세(2003년생) ~ 35세(1988년생),무관,없음,"['건별', '1,000원']",3개월~6개월,월~금,시간협의,MD·쇼핑몰운영,알바,없음,없음,없음,없음,없음,건별,"1,000원",없음,없음,없음
난다스토,[재택근무]쇼핑몰 상품 단순 업로드직 알바 구함(부업가능),2022.12.04,00명,무관,무관,무관,없음,"['건별', '250원']",3개월~6개월,요일협의,시간협의,사무보조,알바,없음,없음,인원미정,없음,없음,건별,250원,없음,(업무시간 자유로움. 미리협의),(업무시간 자유로움. 미리협의)
자베르,[재택근무]온라인쇼핑몰 상품등록알바,상시모집,1명,무관,20세(2003년생) ~ 35세(1988년생),무관,"컴퓨터활용가능, 포토샵가능","['건별', '1,000원']",3개월~6개월,주5일,시간협의,"MD·쇼핑몰운영,사무보조",알바,없음,없음,없음,없음,없음,건별,"1,000원",없음,없음,없음
㈜여우커뮤니케이션,[재택알바] 블로그 포스팅 원고알바/작가모집/재택근무/출근X,상시모집,0명,무관,무관,무관,"워드가능, 유사업무 경험","['건별', '6,000원', '협의가능', '1,800자 작성 기준']",1년이상,요일협의,시간협의,바이럴·SNS마케팅 초보가능,알바,없음,없음,인원미정,없음,"협의가능,1,800자 작성 기준",건별,"6,000원",협의가능,(재택 근무),없음
찌마켓,(재택근무 가능) 온라인 판매 물품 사진 촬영,상시모집,1명,무관,무관,무관,없음,"['시급', '10,000원', '협의가능']",하루(1일),요일협의,시간협의,"서비스 기타,사진촬영·편집",알바,없음,없음,없음,없음,협의가능,시급,"10,000원",협의가능,없음,없음
㈜이지태스크,커리어에 도움되는 온라인 사무 보조 업무하고 싶은 대학생 모집,상시모집,00명,무관,20세(2003년생) ~ 70세(1953년생),무관,"컴퓨터활용가능, 포토샵가능, 한글(HWP)가능, 워드가능, 엑셀가능, 파워포인트가능, 업무 관련 자격증 소지","['시급', '10,000원', '협의가능', '업무 종류 및 난이도에 따라 최저임금에서부터 임금이 다르게 책정될 수 있습니다.']",하루(1일),요일협의,시간협의,"사무보조,그래픽·영상·편집디자인,문서작성·자료조사 초보가능",알바,없음,없음,인원미정,장년가능,"협의가능,업무 종류 및 난이도에 따라 최저임금에서부터 임금이 다르게 책정될 수 있습니다.",시급,"10,000원",협의가능,(희망근무요일 등록),(희망근무시간 등록)
㈜동화세상에듀코,[지역무관] 과목/입시 가능 교사 #플랜관리 교사,2022.12.19,1명,무관,무관,대학(4년제) 졸업 이상,유사업무 경험,"['월급', '2,500,000원', '수습기간있음', '타임관리제(수업수당+인센티브)']",1년이상,요일협의,시간협의,"방문·학습지,외국어·어학원,교육·강사 기타 초보가능",위촉직(프리랜서),"정기휴가, 인센티브제, 장기근속자 포상, 우수사원 표창/포상, 고용보험, 산재보험","화상 수업 교사, 방문 수업 교사",없음,없음,"수습기간있음,타임관리제(수업수당+인센티브)",월급,"2,500,000원",협의가능,"(근무 요일, 시간 면접시 조율)",(최소 근무시간 : 주 35시간 )
재택근무 상담원 (예가커뮤니케이션),인터넷가입센터 TM상담원모집 [시간선택/재택 가능],상시모집,0명,무관,무관,무관,유사업무 경험,"['일급', '50,000원', '협의가능']",1주일~1개월,요일협의,시간협의,텔레마케팅·아웃바운드,알바,없음,없음,인원미정,없음,협의가능,일급,"50,000원",협의가능,(주5일),"(평일 오전, 오후)"
애드리절트,(주)애드리절트 재택/프리랜서 브랜드 블로그 원고작가 채용,2022.12.19,0명,무관,무관,무관,"컴퓨터활용가능, 포토샵가능, 워드가능, 유사업무 경험","['건별', '5,000원', '협의가능']",1년이상,요일협의,시간협의,"문서작성·자료조사,마케팅·광고·홍보",알바,없음,"원고작성, 블로그관리, 재택근무, 온라인마케팅",인원미정,없음,협의가능,건별,"5,000원",협의가능,없음,없음
달청,[재택근무] 자사제품 체험 섭외 업무(주 2시간),상시모집,1명,여자,20세(2003년생) ~ 37세(1986년생),무관,"포토샵가능, 유사업무 경험","['시급', '10,000원']",1년이상,요일협의,시간협의,"쇼핑몰인바운드,마케팅·광고·홍보",위촉직(프리랜서),없음,없음,없음,없음,없음,시급,"10,000원",없음,없음,없음
㈜플레이랭귀지,언어교육스타트업에서 재택근무 가능한 마인크래프트 맵제작 인력 찾습니다.,상시모집,0명,무관,무관,무관,영어가능,"['시급', '10,000원', '협의가능']",6개월~1년,요일협의,시간협의,"웹·콘텐츠기획,디자인 기타,미디어 기타","알바, 계약직",없음,"마인크래프트, 창의적 게임 맵제작, 게임전문가",인원미정,없음,협의가능,시급,"10,000원",협의가능,없음,없음
㈜프리드라이프,[재택/투잡] 건당 75만 일시불지급 LG/삼성 가전제품,2022.12.17,2명,무관,무관,고등학교 졸업 이상,유사업무 경험,"['건별', '500,000원']",1년이상,주5일,10:00~18:00,"일반음식점,매장관리·판매,금융·보험영업","알바, 위촉직(프리랜서)","인센티브제, 우수사원 표창/포상",없음,없음,없음,없음,건별,"500,000원",협의가능,"(월, 화, 수, 목, 금)",없음
이젠,[재택] 상품 사진 촬영 아르바이트,상시모집,00명,무관,무관,무관,유사업무 경험,"['건별', '10,000원', '당일지급']",하루(1일),요일협의,시간협의,사진촬영·편집 초보가능,알바,없음,없음,인원미정,없음,당일지급,건별,"10,000원",협의가능,없음,없음
삼공삼,"타로사주채팅상담 / 시급 35,000원 / 재택근무",2022.12.04,5명,무관,무관,무관,"업무 관련 자격증 소지(타로관련자격증, 심리상담사자격증 우대)","['시급', '35,000원', '협의가능']",1주일~1개월,요일협의,시간협의,고객상담·인바운드 초보가능,알바,인센티브제,"고객상담, 타로",없음,없음,협의가능,시급,"35,000원",협의가능,없음,없음
피드코리아,카드뉴스 제작 프리랜서(자사 인스타 채널 운영) 모집 [재택/부업 가능],상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 포토샵가능","['건별', '50,000원', '협의가능 식대별도지급']",3개월~6개월,요일협의,시간협의,바이럴·SNS마케팅,"알바, 위촉직(프리랜서)",없음,없음,인원미정,없음,협의가능 식대별도지급,건별,"50,000원",협의가능,없음,없음
위런에듀,"[재택근무] 일본어 번역, 내용 확인 및 표현 추가, 후리가나 변환",2022.12.05,4명,무관,무관,무관,없음,"['건별', '250,000원', '3.3% 세금 제외 후 지급, 문장 수에 따라 지급 금액이 다릅니다.']",1주일~1개월,요일협의,시간협의,"외국어·어학원,번역·통역,교육·강사 기타",알바,없음,없음,없음,없음,"3.3% 세금 제외 후 지급, 문장 수에 따라 지급 금액이 다릅니다.",건별,"250,000원",없음,없음,없음
㈜동화세상에듀코 [부산교육본부],코딩/수학/영어/국어 1대1 온오프라인 강사채용(신입/방문/재택),상시모집,3명,무관,무관,대학(4년제) 졸업 이상,"영어가능, 컴퓨터활용가능, 군필자, 유사업무 경험","['월급', '2,500,000원', '수습기간있음']",1년이상,요일협의,시간협의,"교육·강사 기타,HTML코딩,방문·학습지",위촉직(프리랜서),"고용보험, 산재보험, 정기휴가, 인센티브제, 우수사원 표창/포상, 장기근속자 포상",없음,친구,없음,수습기간있음,월급,"2,500,000원",협의가능,없음,없음
동화세상 에듀코,[재택가능]국어 영어 수학 강사 모집,상시모집,3명,무관,무관,무관,"영어가능, 업무 관련 자격증 소지, 유사업무 경험","['월급', '2,500,000원', '협의가능', '타임관리제(수업수당 +인센티브)']",1년이상,월~금,시간협의,"방문·학습지,입시·보습학원,외국어·어학원",위촉직(프리랜서),없음,없음,없음,없음,"협의가능,타임관리제(수업수당 +인센티브)",월급,"2,500,000원",없음,없음,없음
㈜ 다함케이앤비,"[직방/재택근무]시급12,000원/해피콜/사무직/상담/화상면접,교육",상시모집,0명,무관,무관,무관,"컴퓨터활용가능, 유사업무 경험","['시급', '12,000원', '수습기간있음', '시급 12,000원 (주휴수당, 제수당 포함)']",3개월~6개월,요일협의,09:30~18:30,"서비스 기타,사무보조,고객상담·인바운드",알바,"국민연금, 고용보험, 산재보험, 건강보험",없음,인원미정,없음,"수습기간있음,시급 12,000원 (주휴수당, 제수당 포함)",시급,"12,000원",없음,(일요일제외 주5일협의 진행),(휴게시간 60분)
셀파우등생교실T클래스,강원도 원주시/1년이상/주4일에서5일/초등전과목 스마트공부방운영할원장님,상시모집,10명,무관,무관,"대학(2,3년제) 졸업 이상",없음,"['건별', '110,000원', '급여는 원장님이 수업하시는 회원수에 비례합니다.']",1년이상,월~금,14:00~18:00,"교육·강사 기타,입시·보습학원 초보가능",계약직,없음,없음,없음,장년가능,급여는 원장님이 수업하시는 회원수에 비례합니다.,건별,"110,000원",없음,없음,없음
셀파우등생교실T클래스,강원도 원주시/1년이상/주4일에서5일/초등전과목 스마트공부방운영할원장님,상시모집,10명,무관,무관,"대학(2,3년제) 졸업 이상",없음,"['건별', '110,000원', '급여는 원장님이 수업하시는 회원수에 비례합니다.']",1년이상,월~금,14:00~18:00,"교육·강사 기타,입시·보습학원 초보가능",계약직,없음,없음,없음,장년가능,급여는 원장님이 수업하시는 회원수에 비례합니다.,건별,"110,000원",없음,없음,없음
글로지㈜,스페인어 영상 번역가 모집,상시모집,00명,무관,무관,무관,"영어가능, 유사업무 경험","['시급', '30,000원', '협의가능']",6개월~1년,요일협의,시간협의,번역·통역,위촉직(프리랜서),없음,없음,인원미정,없음,협의가능,시급,"30,000원",협의가능,없음,없음
HUYHUY,재택근무 월 금 이미지편집 2시간 소요,2022.12.10,1명,무관,무관,무관,"포토샵가능, 엑셀가능","['월급', '500,000원']",6개월~1년,월~금,시간협의,디자인 기타,위촉직(프리랜서),없음,없음,없음,없음,없음,월급,"500,000원",없음,없음,없음
RiccoWorks,이미지 캡쳐 촬영 아르바이트,2022.12.19,10명,무관,무관,무관,유사업무 경험,"['건별', '500원', '주급가능', '매주 토요일 일괄지급됩니다.']",1년이상,월~금,시간협의,"사진촬영·편집,사무보조 초보가능","알바, 위촉직(프리랜서)",없음,없음,없음,없음,"주급가능,매주 토요일 일괄지급됩니다.",건별,500원,없음,없음,(마감 시간 전까지 진행해주시면 됩니다.)
주식회사 디에스,[전국가능/주급가능/주5일] 휴대폰 초보(경력자)상담원 모집,상시모집,1명,무관,30세(1993년생) ~ 50세(1973년생),무관,"유사업무 경험, 대학재학생, 대학휴학생","['시급', '10,000원', '협의가능 수습기간있음']",1년이상,주5일,10:00~17:00,"고객상담·인바운드,텔레마케팅·아웃바운드,마케팅·광고·홍보 초보가능","알바, 계약직","국민연금, 산재보험, 고용보험, 건강보험, 정기휴가, 퇴직금, 인센티브제","상담, 인바운드",없음,장년가능,협의가능 수습기간있음,시급,"10,000원",협의가능,"(월, 화, 수, 목, 금)",없음
K-MATHLIVE 비대면 평촌센터,K-MATHLIVE 비대면 수학 선생님 모십니다. (재택가능),상시모집,0명,무관,무관,무관,없음,"['시급', '16,000원', '협의가능 수습기간있음']",6개월~1년,요일협의,시간협의,"입시·보습학원,방문·학습지,보조교사 초보가능","알바, 계약직",없음,없음,인원미정,없음,협의가능 수습기간있음,시급,"16,000원",없음,없음,없음
심통교육,"김포지역&일산지역 어린이집 특강(오감,오르프,우쿨렐레)강사님모집",상시모집,00명,여자,무관,무관,"차량소지, 운전가능, 유사업무 경험","['시급', '35,000원', '협의가능']",1년이상,요일협의,12:00~16:00,유아·유치원 초보가능,"알바, 정규직",없음,없음,인원미정,없음,협의가능,시급,"35,000원",협의가능,없음,없음
큐브엔시스,AI 학습데이터 구축 - 클라우드워커 모집,2022.12.10,00명,무관,무관,무관,없음,"['건별', '300원']",1개월~3개월,요일협의,시간협의,데이터수집·가공 초보가능,알바,없음,없음,인원미정,없음,없음,건별,300원,없음,없음,없음
헬프리치,"블로그 원고알바-재택근무,재택알바,단기알바,주말알바,주급,아르바이트,투잡",상시모집,500명,무관,무관,무관,"유사업무 경험, 대학재학생, 대학휴학생","['건별', '15,000원', '협의가능 주급가능', '업종/글자수별로 건당 500자 1,500원부터 ~ 10,000자 이상 50,000원']",1주일~1개월,주5일,시간협의,"문서작성·자료조사,마케팅·광고·홍보,편집·교정·교열 초보가능","알바, 위촉직(프리랜서)",없음,없음,친구,없음,"협의가능 주급가능,업종/글자수별로 건당 500자 1,500원부터 ~ 10,000자 이상 50,000원",건별,"15,000원",없음,없음,(재택근무)
역전할머니맥주 야탑점,"평일,주말 알바생모집합니다",상시모집,0명,무관,무관,무관,없음,"['시급', '12,000원', '협의가능']",3개월~6개월,요일협의,시간협의,서빙 초보가능,알바,없음,없음,인원미정,없음,협의가능,시급,"12,000원",협의가능,없음,"(평일,주말)"
㈜엠티데이타,[급구] 이미지 분류 크라우드워커 채용,상시모집,4명,무관,무관,무관,유사업무 경험,"['월급', '2,200,000원']",1개월~3개월,월~금,09:30~18:30,"사무보조,문서작성·자료조사,데이터수집·가공","알바, 계약직",없음,없음,없음,없음,없음,월급,"2,200,000원",없음,없음,없음
컨텐츠베이커리,(재택가능) 유튜브 시나리오 에디터를 모집합니다.,2022.12.12,00명,무관,무관,무관,유사업무 경험,"['건별', '200,000원']",1년이상,요일협의,시간협의,"웹·콘텐츠기획,문서작성·자료조사","알바, 위촉직(프리랜서)",없음,없음,인원미정,없음,없음,건별,"200,000원",없음,없음,없음
㈜비어트렌드,SNS 공동구매 마켓 운영/회계/사무,상시모집,1명,무관,무관,무관,"컴퓨터활용가능, 포토샵가능, 한글(HWP)가능, 워드가능, 엑셀가능, 파워포인트가능, 유사업무 경험","['시급', '10,000원', '협의가능']",1년이상,요일협의,시간협의,"MD·쇼핑몰운영,경리·회계보조",위촉직(프리랜서),없음,"SNS 공동구매 마켓 운영, 결제창 작업/발주/배송장 작성, 회계/사무",없음,없음,협의가능,시급,"10,000원",협의가능,없음,(마켓 운영시만 근무/재택근무)
자베르,[재택근무]온라인쇼핑몰 상품등록알바,상시모집,1명,무관,20세(2003년생) ~ 35세(1988년생),무관,"컴퓨터활용가능, 포토샵가능","['건별', '1,000원']",3개월~6개월,주5일,시간협의,"MD·쇼핑몰운영,사무보조",알바,없음,없음,없음,없음,없음,건별,"1,000원",없음,없음,없음
블랙벨,[재택근무]온라인쇼핑몰 상품등록알바,상시모집,1명,무관,20세(2003년생) ~ 35세(1988년생),무관,없음,"['건별', '1,000원']",3개월~6개월,월~금,시간협의,MD·쇼핑몰운영,알바,없음,없음,없음,없음,없음,건별,"1,000원",없음,없음,없음
주식회사 페어리,[재택 / 핀테크] 할인 정보를 문서화 작업 담당해주실 알바를 구합니다.,2022.12.05,1명,무관,무관,무관,엑셀가능,"['시급', '10,000원']",1개월~3개월,주3일,시간협의,"데이터수집·가공,마케팅·광고·홍보",알바,없음,없음,없음,없음,없음,시급,"10,000원",없음,"(월, 수, 금)",(2시간/일)
+디쉐어비대면수학학원+,+디쉐어수학학원+ 재택/경력/신입/250-300가능/1대1학습관리,상시모집,00명,무관,무관,대학(4년제) 졸업 이상,없음,"['월급', '3,000,000원', '협의가능', '250만원~300만원']",6개월~1년,요일협의,16:00~22:00,"입시·보습학원,외국어·어학원,교육·강사 기타 초보가능","계약직, 위촉직(프리랜서)","정기휴가, 인센티브제, 장기근속자 포상, 우수사원 표창/포상, 경조휴가제",없음,인원미정,없음,"협의가능,250만원~300만원",월급,"3,000,000원",협의가능,없음,없음
토종원,네이버 스마트스토어 전문가,상시모집,2명,무관,무관,무관,유사업무 경험,"['월급', '500,000원', '협의가능']",1년이상,요일협의,시간협의,"MD·쇼핑몰운영,사이트관리·기술지원","알바, 계약직","장기근속자 포상, 우수사원 표창/포상",없음,없음,없음,협의가능,월급,"500,000원",협의가능,없음,(시간 관계없음)
로하엔터테인먼트,인터넷방송 BJ(비제이)/크리에이터/투잡가능 공정하고 투명한 MCN회사,상시모집,00명,무관,무관,무관,"유사업무 경험, 대학재학생, 대학휴학생","['주급', '1,000,000원', '협의가능']",3개월~6개월,요일협의,시간협의,"미디어 기타,서비스 기타","알바, 계약직",없음,없음,인원미정,없음,협의가능,주급,"1,000,000원",협의가능,없음,없음
정진,식자재 쇼핑몰 광고 디자인하실분(재택근무),상시모집,1명,무관,무관,무관,없음,"['시급', '9,200원', '협의가능']",1년이상,요일협의,시간협의,MD·쇼핑몰운영,위촉직(프리랜서),없음,없음,없음,없음,협의가능,시급,"9,200원",협의가능,없음,없음
㈜큐피플,"영어 자막 제작(srt, vtt자막, 재택 근무, 유경험자 우대)",2022.12.07,00명,무관,무관,"대학(2,3년제) 졸업 이상","컴퓨터활용가능, 파워포인트가능","['건별', '30,000원', '협의가능']",1개월~3개월,주5일,09:00~18:00,"미디어 기타,문서작성·자료조사",알바,없음,없음,"인원미정,친구",없음,협의가능,건별,"30,000원",협의가능,"(월, 화, 수, 목, 금)",(휴게시간 60분)
㈜테스트웍스,생활 폐기물 및 제품 사진 촬영 현장 수집,상시모집,00명,무관,무관,무관,없음,"['일급', '25,000원', '협의가능', '1일 기본급(1세트 250장 제출 필수/2세트까지 해당) +추가 수집 건당 300원']",1주일~1개월,월~일,시간협의,사진촬영·편집 초보가능,알바,없음,없음,"인원미정,친구",없음,"협의가능,1일 기본급(1세트 250장 제출 필수/2세트까지 해당) +추가 수집 건당 300원",일급,"25,000원",11.29(화) ~ 12.16(금),"(주 5일 이상 필수 근무, 수집량에 따라 주말 근무 가능성 있음)",(1일 기본 1세트 250장 제출 시 조기 퇴근 가능)
㈜엔케이네트워크,영상촬영 프리랜서 모집,상시모집,2명,무관,무관,무관,"운전가능, 유사업무 경험","['건별', '100,000원', '협의가능', '각종 수당 포함']",3개월~6개월,요일협의,시간협의,"동영상촬영·편집,그래픽·영상·편집디자인","알바, 위촉직(프리랜서)",없음,없음,없음,없음,"협의가능,각종 수당 포함",건별,"100,000원",협의가능,(월 3-5회 정도 상황에 따라 다름),(전 달 스케줄 공지(건당 약 1-2시간))
쇼다운 컴퍼니,[재택알바] 이미지 단순 교체작업 해주실분 구합니다,2022.12.06,2명,무관,무관,무관,없음,"['시급', '9,160원']",1개월~3개월,월~금,시간협의,데이터수집·가공,알바,없음,없음,없음,없음,없음,시급,"9,160원",없음,(월금),없음
서북(포토이즘/재택근무),[재택근무/인물보정] 포토이즘 인물보정 재택근무자를 모집합니다.,상시모집,0명,무관,20세(2003년생) ~ 30세(1993년생),무관,"포토샵가능, 유사업무 경험","['건별', '3,000원', '개인의 역량에 따라 조정 가능']",3개월~6개월,요일협의,시간협의,"사진촬영·편집,디자인 기타","알바, 위촉직(프리랜서)",없음,없음,"인원미정,친구",없음,개인의 역량에 따라 조정 가능,건별,"3,000원",협의가능,없음,없음
수시패스,유튜브 호기심 채널 프리랜서 대본 작가 구합니다. (대학생 가능),상시모집,1명,무관,무관,무관,유사업무 경험,"['건별', '10,000원']",6개월~1년,요일협의,시간협의,"미디어 기타,문서작성·자료조사 초보가능",알바,없음,없음,없음,없음,없음,건별,"10,000원",없음,없음,(재택 근무로 정해진 업무시간 없음. )
꾸며보드레,텍스트 형식(기사) 컨텐츠 글 작성 작업자 모집,상시모집,0명,무관,무관,대학(4년제) 졸업 이상,유사업무 경험,"['건별', '15,000원', '정규직 전환시 1.8만원 지급']",1년이상,요일협의,시간협의,"문서작성·자료조사,웹·콘텐츠기획","정규직, 위촉직(프리랜서)",없음,없음,인원미정,없음,정규직 전환시 1.8만원 지급,건별,"15,000원",없음,(정해진 근무일 없으며 매일 일정 작업물만 전달하면 됨),(자신의 일정에 맞춰 자유롭게 작업 가능)
엘도라,"부업하실 분, 하루 2시간, 까페댓글관리, 문자로문의주세요",상시모집,0명,무관,무관,무관,"컴퓨터활용가능, 한글(HWP)가능, 워드가능, 유사업무 경험","['시급', '10,000원', '협의가능', '부업, 집에서가능']",1개월~3개월,요일협의,시간협의,문서작성·자료조사 초보가능,알바,없음,없음,"인원미정,친구",없음,"협의가능,부업, 집에서가능",시급,"10,000원",협의가능,없음,없음
다파는회사(크렙CreatorsLable),자유롭게 근무하실 프리랜서 디자이너님을 모십니다.,상시모집,00명,무관,무관,무관,"포토샵가능, 유사업무 경험","['건별', '100,000원', '협의가능', '최소 금액이며, 의뢰건 규모에 따라 추가 지급 드립니다.']",3개월~6개월,요일협의,시간협의,"웹·모바일디자인,HTML코딩,그래픽·영상·편집디자인",위촉직(프리랜서),없음,없음,인원미정,없음,"협의가능,최소 금액이며, 의뢰건 규모에 따라 추가 지급 드립니다.",건별,"100,000원",협의가능,없음,없음
아싸닷컴,[재택근무자] 카페운영자모집/홍보경력자/사이트관리/시간자유근무,상시모집,00명,무관,무관,무관,"컴퓨터활용가능, 포토샵가능, 워드가능, 엑셀가능, 파워포인트가능, 한글(HWP)가능, 유사업무 경험","['시급', '9,160원']",1년이상,월~금,시간협의,사무보조,알바,없음,없음,인원미정,없음,없음,시급,"9,160원",협의가능,없음,없음
